region_L,chi,cavity_sc,cavity_tc,neighborhood_sc,neighborhood_tc
3,2,9.000,15.665,24.000,32.483
3,4,17.000,26.583,48.000,64.096
3,8,25.000,38.376,73.000,96.023
3,16,33.000,50.334,97.000,128.006
