chi,method,convergence_step,diff,marginal,marginal_error
4,bp,4,,,
4,tnmp_rank1,,,,
4,tnmp_rank2,,,,
4,gbp,58,,0.4623703915777729;0.5376296084222272,
8,bp,3,,0.4881336115963063;0.5118663884036936,
8,tnmp_rank1,5,,0.4881337897044285;0.5118662102955716,
8,tnmp_rank2,4,,0.48813378889215564;0.5118662111078442,
8,bmps_chi=1,,,0.48813361157006524;0.5118663884299348,
8,bmps_chi=2,2,,0.488133642025124;0.511866357974876,
16,bp,3,,,
16,tnmp_rank1,4,,,
16,tnmp_rank2,4,,,
