chi,method,convergence_step,diff,marginal,marginal_error
4,bp,6,,,
4,tnmp_rank1,,,,
4,tnmp_rank2,,,,
4,gbp,false,,,
8,bp,5,,0.5008916896016266;0.4991083103983734,
8,tnmp_rank1,false,,,
8,tnmp_rank2,8,,0.5008146686062289;0.499185331393771,
8,bmps_chi=1,,,0.5016506939114814;0.49834930608851846,
8,bmps_chi=2,,,0.5106580589760752;0.4893419410239248,
8,bmps_chi=4,,,0.5007594083391089;0.4992405916608911,
8,bmps_chi=8,,,0.4912016461306819;0.508798353869318,
8,bmps_chi=16,,,0.504291545398698;0.4957084546013021,
16,bp,5,,,
16,tnmp_rank1,,,,
16,tnmp_rank2,,,,
